date,open,close,high,low,amount
2020-09-02,4.64,4.61,4.65,4.59,481814.39
2020-09-03,4.61,4.62,4.62,4.59,382767.04
2020-09-04,4.59,4.58,4.6,4.56,441526.76
2020-09-07,4.58,4.57,4.6,4.56,370287.31
2020-09-08,4.57,4.61,4.63,4.57,484776.23
2020-09-09,4.59,4.59,4.61,4.58,480967.83
2020-09-10,4.59,4.57,4.61,4.55,433953.71
2020-09-11,4.56,4.58,4.58,4.55,310290.52
2020-09-14,4.59,4.59,4.6,4.56,277849.99
2020-09-15,4.59,4.58,4.59,4.57,222231.21
2020-09-16,4.59,4.58,4.6,4.57,295859.2
2020-09-17,4.58,4.57,4.58,4.56,233028.35
2020-09-18,4.57,4.62,4.62,4.56,507563.37
2020-09-21,4.62,4.6,4.63,4.59,298628.17
2020-09-22,4.58,4.57,4.62,4.56,410976.26
2020-09-23,4.58,4.56,4.58,4.55,372875.16
2020-09-24,4.55,4.49,4.55,4.49,499912.06
2020-09-25,4.49,4.49,4.51,4.48,220507.06
2020-09-28,4.49,4.5,4.51,4.47,256967.18
2020-09-29,4.5,4.53,4.54,4.49,311841.84
2020-09-30,4.52,4.51,4.54,4.5,214264.7
2020-10-09,4.52,4.52,4.54,4.51,242412.92
2020-10-12,4.52,4.57,4.58,4.52,393979.86
2020-10-13,4.57,4.59,4.64,4.54,654316.52
2020-10-14,4.6,4.6,4.64,4.57,398300.68
2020-10-15,4.59,4.62,4.64,4.58,428797.73
2020-10-16,4.61,4.69,4.71,4.6,1038860.41
2020-10-19,4.7,4.67,4.77,4.65,1191456.08
2020-10-20,4.65,4.64,4.67,4.6,568035.17
2020-10-21,4.65,4.67,4.67,4.6,607422.62
2020-10-22,4.66,4.66,4.68,4.63,321525.5
2020-10-23,4.65,4.67,4.71,4.64,458373.5
2020-10-26,4.66,4.64,4.7,4.62,383626.74
2020-10-27,4.61,4.6,4.63,4.58,370874.93
2020-10-28,4.58,4.55,4.6,4.52,339692.84
2020-10-29,4.51,4.52,4.54,4.5,238212.85
2020-10-30,4.59,4.6,4.73,4.58,1104235.07
2020-11-02,4.66,4.69,4.71,4.61,849254.63
2020-11-03,4.71,4.67,4.75,4.65,615644.46
2020-11-04,4.73,4.71,4.74,4.67,524947.99
2020-11-05,4.74,4.71,4.76,4.68,625183.43
2020-11-06,4.73,4.78,4.79,4.7,833849.24
2020-11-09,4.78,4.76,4.79,4.72,693162.26
2020-11-10,4.77,4.78,4.85,4.76,907804.95
2020-11-11,4.78,4.83,4.86,4.75,826387.28
2020-11-12,4.83,4.81,4.84,4.78,438097.06
2020-11-13,4.8,4.69,4.86,4.66,849657.08
2020-11-16,4.69,4.71,4.75,4.66,665849.76
2020-11-17,4.71,4.71,4.73,4.66,544672.68
2020-11-18,4.7,4.79,4.83,4.68,966231.29
2020-11-19,4.8,4.8,4.82,4.76,425830.34
2020-11-20,4.77,4.75,4.8,4.73,394349.37
2020-11-23,4.74,4.83,4.86,4.72,850270.32
2020-11-24,4.83,4.9,4.91,4.81,1052463.99
2020-11-25,4.96,5.0,5.18,4.95,1659372.22
2020-11-26,5.0,5.04,5.08,4.98,1004820.66
2020-11-27,5.06,5.18,5.18,5.06,1617872.09
2020-11-30,5.28,5.23,5.57,5.08,3857521.85
2020-12-01,5.11,5.26,5.33,5.11,2577491.62
2020-12-02,5.22,5.1,5.25,5.06,1520644.34
2020-12-03,5.12,5.12,5.14,5.03,883808.32
2020-12-04,5.06,5.0,5.11,4.89,850344.16
2020-12-07,4.99,4.91,5.04,4.85,1225180.18
2020-12-08,4.88,4.85,4.9,4.8,990952.99
2020-12-09,4.83,4.87,4.89,4.81,704497.45
2020-12-10,4.86,4.85,4.91,4.81,610172.45
2020-12-11,4.83,4.92,4.95,4.83,984228.82
2020-12-14,4.93,4.85,4.94,4.8,868270.12
2020-12-15,4.83,4.79,4.84,4.76,401633.3
2020-12-16,4.78,4.81,4.85,4.77,417365.54
2020-12-17,4.81,4.87,4.87,4.77,354508.59
2020-12-18,4.84,4.83,4.88,4.82,357425.28
2020-12-21,4.81,4.84,4.89,4.8,383191.89
2020-12-22,4.83,4.77,4.88,4.77,356602.41
2020-12-23,4.78,4.72,4.81,4.7,489872.32
2020-12-24,4.73,4.72,4.77,4.71,258594.4
2020-12-25,4.71,4.72,4.73,4.68,286695.64
2020-12-28,4.71,4.75,4.79,4.68,463237.16
2020-12-29,4.76,4.73,4.8,4.71,360267.44
2020-12-30,4.72,4.75,4.76,4.7,341418.32
2020-12-31,4.73,4.78,4.83,4.73,710642.88
2021-01-04,4.76,4.68,4.76,4.59,1588715.21
2021-01-05,4.65,4.68,4.71,4.62,728247.4
2021-01-06,4.65,4.71,4.72,4.65,548947.96
2021-01-07,4.71,4.71,4.75,4.65,545454.92
2021-01-08,4.69,4.79,4.8,4.68,567810.28
2021-01-11,4.78,4.87,4.94,4.77,1536339.99
2021-01-12,4.84,4.84,4.86,4.73,958899.71
2021-01-13,4.86,4.9,4.92,4.83,991271.62
2021-01-14,4.94,5.02,5.12,4.91,1725640.38
2021-01-15,5.18,5.44,5.52,5.18,7291949.17
2021-01-18,5.3,5.27,5.36,5.19,4842552.87
2021-01-19,5.26,5.36,5.64,5.22,4014096.3
2021-01-20,5.33,5.36,5.47,5.26,2067461.31
2021-01-21,5.45,5.59,5.65,5.36,3761158.0
2021-01-22,5.51,5.4,5.54,5.33,2284201.12
2021-01-25,5.35,5.43,5.48,5.19,2041160.47
2021-01-26,5.42,5.48,5.62,5.38,2241432.75
2021-01-27,5.45,5.56,5.71,5.43,2805367.76
2021-01-28,5.42,5.36,5.47,5.34,1708803.23
2021-01-29,5.41,5.48,5.52,5.35,2217007.92
2021-02-01,5.45,5.6,5.68,5.36,2794928.24
2021-02-02,5.51,5.48,5.56,5.45,1723100.36
2021-02-03,5.48,5.57,5.67,5.47,2229655.27
2021-02-04,5.56,5.78,5.92,5.52,3473101.65
2021-02-05,5.83,6.1,6.28,5.83,4183170.68
2021-02-08,6.15,6.2,6.23,5.97,3433777.88
2021-02-09,6.21,6.27,6.27,6.02,2300805.32
2021-02-10,6.28,6.18,6.46,6.11,2599712.19
2021-02-18,6.25,6.24,6.39,6.15,2321681.11
2021-02-19,6.24,6.11,6.24,6.01,2206062.93
2021-02-22,6.12,6.02,6.14,5.98,1973346.09
2021-02-23,6.01,6.09,6.27,6.0,2283502.87
2021-02-24,6.09,5.93,6.12,5.87,1917673.21
2021-02-25,5.97,6.2,6.24,5.94,2638789.19
2021-02-26,6.03,6.12,6.14,5.96,2418776.18
2021-03-01,6.04,6.02,6.09,5.97,1148038.91
2021-03-02,6.06,5.91,6.08,5.8,1654738.66
2021-03-03,5.86,6.15,6.19,5.83,2159440.08
2021-03-04,6.09,6.11,6.18,6.01,1652992.8
2021-03-05,6.02,6.16,6.19,5.94,1908416.81
2021-03-08,6.19,6.09,6.44,6.08,2542328.59
2021-03-09,6.15,5.9,6.2,5.87,2387515.98
2021-03-10,5.85,5.74,5.9,5.72,1709385.7
2021-03-11,5.79,5.9,5.96,5.78,1487631.27
2021-03-12,5.91,5.94,5.96,5.79,1518449.45
2021-03-15,5.95,5.95,6.05,5.9,1064780.19
2021-03-16,5.97,6.14,6.15,5.94,1695229.22
2021-03-17,6.12,6.01,6.12,5.96,1342389.73
2021-03-18,6.0,5.94,6.1,5.91,1479323.62
2021-03-19,5.94,5.84,5.97,5.78,1144173.01
2021-03-22,5.84,5.92,5.94,5.8,1024268.57
2021-03-23,5.92,5.88,5.95,5.84,644986.21
2021-03-24,5.85,5.77,5.86,5.7,907824.01
2021-03-25,5.75,5.67,5.79,5.65,788347.17
2021-03-26,5.69,5.74,5.77,5.67,652307.22
2021-03-29,5.75,5.85,5.85,5.7,867119.67
2021-03-30,5.85,5.87,5.89,5.76,1083557.05
2021-03-31,5.86,5.87,5.91,5.76,1096821.21
2021-04-01,5.85,5.76,5.86,5.72,905180.62
2021-04-02,5.75,5.67,5.76,5.64,1154481.54
2021-04-06,5.7,5.75,5.77,5.65,769123.41
2021-04-07,5.73,5.73,5.76,5.68,732689.56
2021-04-08,5.7,5.65,5.74,5.65,836936.9
2021-04-09,5.65,5.58,5.67,5.56,845295.87
2021-04-12,5.59,5.6,5.6,5.51,898742.51
2021-04-13,5.6,5.65,5.68,5.56,1042508.19
2021-04-14,5.63,5.64,5.68,5.57,734647.32
2021-04-15,5.67,5.5,5.67,5.47,1099485.98
2021-04-16,5.52,5.49,5.52,5.42,839885.62
2021-04-19,5.48,5.45,5.49,5.41,1378835.47
2021-04-20,5.44,5.49,5.54,5.42,924567.88
2021-04-21,5.45,5.61,5.65,5.44,1219664.24
2021-04-22,5.62,5.52,5.64,5.48,890209.83
2021-04-23,5.49,5.51,5.56,5.47,589012.06
2021-04-26,5.52,5.43,5.56,5.43,693642.9
2021-04-27,5.42,5.44,5.47,5.39,433756.53
2021-04-28,5.43,5.39,5.43,5.35,718160.93
2021-04-29,5.38,5.46,5.5,5.37,1157718.85
2021-04-30,5.43,5.09,5.43,4.97,4813979.45
2021-05-06,5.12,5.11,5.17,5.1,1777481.81
2021-05-07,5.11,5.15,5.23,5.08,1267129.81
2021-05-10,5.16,5.35,5.36,5.15,2215994.0
2021-05-11,5.32,5.32,5.34,5.24,758781.7
2021-05-12,5.31,5.34,5.38,5.26,1011608.78
2021-05-13,5.29,5.36,5.41,5.28,1115393.57
2021-05-14,5.39,5.39,5.4,5.31,831830.89
2021-05-17,5.39,5.37,5.4,5.3,1142770.83
2021-05-18,5.36,5.27,5.37,5.18,1313619.29
2021-05-19,5.24,5.18,5.24,5.15,1027625.53
2021-05-20,5.19,5.27,5.27,5.13,1068249.29
2021-05-21,5.25,5.16,5.27,5.14,1214747.12
2021-05-24,5.17,5.11,5.2,5.09,1023838.6
2021-05-25,5.12,5.27,5.29,5.1,1690962.28
2021-05-26,5.3,5.45,5.56,5.28,2780652.92
2021-05-27,5.4,5.34,5.41,5.3,1638913.08
2021-05-28,5.36,5.57,5.68,5.36,3357796.44
2021-05-31,5.68,5.6,5.68,5.48,1886105.14
2021-06-01,5.57,5.54,5.59,5.47,1413425.59
2021-06-02,5.51,5.48,5.55,5.43,1259148.39
2021-06-03,5.49,5.45,5.54,5.42,1098982.5
2021-06-04,5.44,5.53,5.54,5.39,1713096.03
2021-06-07,5.48,5.44,5.49,5.41,1488309.58
2021-06-08,5.43,5.42,5.44,5.33,1638540.31
2021-06-09,5.41,5.35,5.41,5.31,1448498.66
2021-06-10,5.33,5.38,5.41,5.32,1209680.78
2021-06-11,5.36,5.27,5.38,5.26,1844879.3
2021-06-15,5.28,5.24,5.3,5.18,1621524.34
2021-06-16,5.25,5.31,5.38,5.21,1431733.6
2021-06-17,5.32,5.22,5.33,5.2,1284344.31
2021-06-18,5.2,5.16,5.2,5.14,1094075.86
2021-06-21,5.14,5.06,5.15,5.01,2383794.78
2021-06-22,5.06,5.0,5.11,4.98,2177995.62
2021-06-23,5.0,4.99,5.03,4.93,1966260.91
2021-06-24,4.99,5.01,5.02,4.97,853416.03
2021-06-25,5.02,5.09,5.09,5.0,1473086.03
2021-06-28,5.08,5.0,5.09,4.98,1266740.45
2021-06-29,4.99,5.01,5.03,4.94,1626729.37
2021-06-30,5.01,5.02,5.03,4.99,1083271.31
2021-07-01,5.03,5.04,5.07,5.0,1199321.19
2021-07-02,5.03,5.0,5.04,4.98,946084.76
2021-07-05,5.0,4.94,5.0,4.91,1246862.5
2021-07-06,4.93,4.95,4.95,4.89,1402563.85
2021-07-07,4.92,4.86,4.95,4.85,2337906.86
2021-07-08,4.88,4.8,4.88,4.77,1270881.47
2021-07-09,4.77,4.76,4.81,4.73,1196018.5
2021-07-12,4.8,4.74,4.81,4.71,1558710.81
2021-07-13,4.74,4.77,4.78,4.7,1235030.42
2021-07-14,4.78,4.78,4.8,4.73,1313345.31
2021-07-15,4.77,4.99,5.03,4.75,3068204.96
2021-07-16,4.94,5.03,5.05,4.92,1848518.97
2021-07-19,5.01,5.12,5.12,4.95,1831512.04
2021-07-20,5.09,4.99,5.09,4.98,1097716.29
2021-07-21,4.99,4.97,5.04,4.95,892556.92
2021-07-22,4.78,4.8,4.9,4.76,1323109.7
2021-07-23,4.78,4.85,4.87,4.72,1275572.54
2021-07-26,4.82,4.85,4.92,4.74,1802483.57
2021-07-27,4.81,4.82,4.9,4.79,1634892.38
2021-07-28,4.8,4.93,4.95,4.79,2065548.88
2021-07-29,4.93,4.81,4.93,4.78,1499455.94
2021-07-30,4.8,4.69,4.8,4.66,1247497.5
2021-08-02,4.71,4.84,4.87,4.63,1583692.56
2021-08-03,4.81,4.82,4.89,4.77,1158803.61
2021-08-04,4.86,4.87,4.9,4.82,874572.71
2021-08-05,4.86,4.88,4.93,4.85,687242.18
2021-08-06,4.86,4.9,4.91,4.8,861854.33
2021-08-09,4.9,5.0,5.04,4.88,1425259.55
2021-08-10,5.01,5.05,5.08,4.94,1361628.88
2021-08-11,5.07,5.31,5.33,5.07,2948593.09
2021-08-12,5.27,5.27,5.34,5.25,1192143.81
2021-08-13,5.25,5.33,5.38,5.23,1248125.51
2021-08-16,5.39,5.27,5.4,5.23,1315894.09
2021-08-17,5.26,5.17,5.33,5.14,1240368.07
2021-08-18,5.19,5.32,5.34,5.17,1882318.43
2021-08-19,5.29,5.15,5.3,5.08,1472385.73
2021-08-20,5.15,5.17,5.18,5.03,1191960.05
2021-08-23,5.15,5.14,5.2,5.1,796912.06
2021-08-24,5.11,5.08,5.18,5.07,1105096.69
2021-08-25,5.08,5.05,5.12,5.02,938285.31
2021-08-26,5.04,4.99,5.06,4.97,768895.56
2021-08-27,4.98,5.0,5.05,4.96,734163.41
2021-08-30,5.04,4.99,5.08,4.93,1169763.97
2021-08-31,4.99,5.14,5.2,4.99,1716747.08
2021-09-01,5.13,5.35,5.37,5.11,3053097.79
2021-09-02,5.34,5.35,5.4,5.27,1713657.78
2021-09-03,5.36,5.34,5.43,5.23,1686050.01
2021-09-06,5.3,5.35,5.38,5.27,1227038.3
2021-09-07,5.36,5.41,5.48,5.29,1752439.25
2021-09-08,5.37,5.41,5.46,5.37,1171761.77
2021-09-09,5.39,5.46,5.5,5.36,1493203.45
2021-09-10,5.45,5.42,5.6,5.39,2390320.53
2021-09-13,5.39,5.5,5.56,5.34,2506538.37
2021-09-14,5.49,5.3,5.53,5.28,2225835.15
2021-09-15,5.28,5.25,5.33,5.22,1375375.61
2021-09-16,5.27,5.23,5.49,5.19,2089500.34
2021-09-17,5.23,5.15,5.24,5.11,1389633.0
2021-09-22,5.01,5.06,5.08,4.91,1504028.41
2021-09-23,5.09,5.0,5.15,4.96,1593288.16
2021-09-24,5.01,4.95,5.03,4.93,1471897.29
2021-09-27,4.94,4.9,5.01,4.88,1561137.08
2021-09-28,4.92,5.06,5.1,4.89,2208385.49
2021-09-29,5.01,5.09,5.14,5.0,2175709.48
2021-09-30,5.09,5.08,5.11,4.95,1465234.21
2021-10-08,5.07,5.12,5.18,5.06,1361870.01
2021-10-11,5.15,5.22,5.26,5.14,1820113.74
2021-10-12,5.17,5.14,5.26,5.09,1413743.95
2021-10-13,5.14,5.14,5.17,5.06,780809.06
2021-10-14,5.13,5.13,5.15,5.08,647477.26
2021-10-15,5.1,5.11,5.18,5.09,1033202.99
2021-10-18,5.12,5.23,5.25,5.09,1782551.42
2021-10-19,5.2,5.31,5.33,5.17,1230640.84
2021-10-20,5.32,5.29,5.38,5.27,1210676.25
2021-10-21,5.3,5.45,5.45,5.29,1894586.77
2021-10-22,5.45,5.43,5.48,5.37,1254115.4
2021-10-25,5.4,5.35,5.4,5.27,1359513.74
2021-10-26,5.32,5.32,5.4,5.29,929587.35
2021-10-27,5.32,5.34,5.36,5.26,1229366.37
2021-10-28,5.33,5.34,5.38,5.3,1189476.66
2021-10-29,5.39,5.41,5.47,5.33,2690324.02
2021-11-01,5.4,5.62,5.74,5.38,3328993.15
2021-11-02,5.65,5.52,5.67,5.48,1974793.34
2021-11-03,5.55,5.41,5.56,5.36,1251142.26
2021-11-04,5.44,5.34,5.45,5.32,883971.45
2021-11-05,5.32,5.39,5.42,5.3,1170167.04
2021-11-08,5.41,5.4,5.55,5.39,1180769.99
2021-11-09,5.44,5.34,5.46,5.26,1059147.89
2021-11-10,5.32,5.37,5.4,5.29,1038065.27
2021-11-11,5.37,5.41,5.42,5.32,1322225.09
2021-11-12,5.41,5.34,5.42,5.32,988483.58
2021-11-15,5.32,5.35,5.37,5.3,638828.53
2021-11-16,5.35,5.28,5.37,5.25,739687.56
2021-11-17,5.27,5.19,5.28,5.18,1121890.23
2021-11-18,5.16,5.17,5.23,5.15,777144.38
2021-11-19,5.17,5.22,5.23,5.13,1180580.76
2021-11-22,5.21,5.14,5.22,5.13,1627734.36
2021-11-23,5.14,5.17,5.2,5.13,964332.56
2021-11-24,5.16,5.2,5.23,5.16,907446.88
2021-11-25,5.19,5.22,5.25,5.18,747446.8
2021-11-26,5.2,5.15,5.22,5.15,664322.76
2021-11-29,5.11,5.09,5.16,5.08,855550.37
2021-11-30,5.1,5.08,5.13,5.04,1004132.86
2021-12-01,5.11,5.2,5.22,5.08,942266.52
2021-12-02,5.19,5.27,5.3,5.16,1328588.67
2021-12-03,5.27,5.25,5.28,5.17,1021863.12
2021-12-06,5.27,5.29,5.4,5.26,1323471.28
2021-12-07,5.34,5.37,5.42,5.3,1975720.02
2021-12-08,5.37,5.29,5.38,5.26,1446186.94
2021-12-09,5.29,5.35,5.38,5.27,1440858.58
2021-12-10,5.3,5.29,5.35,5.25,1147032.45
2021-12-13,5.3,5.28,5.38,5.28,1531024.84
2021-12-14,5.26,5.21,5.29,5.15,1477942.63
2021-12-15,5.19,5.29,5.31,5.17,1384582.48
2021-12-16,5.32,5.33,5.36,5.26,1062894.6
2021-12-17,5.33,5.28,5.35,5.27,731942.17
2021-12-20,5.26,5.27,5.3,5.25,535820.56
2021-12-21,5.28,5.32,5.36,5.26,753884.95
2021-12-22,5.32,5.26,5.33,5.25,999853.16
2021-12-23,5.27,5.3,5.31,5.26,712979.34
2021-12-24,5.3,5.28,5.32,5.26,748092.3
2021-12-27,5.29,5.22,5.3,5.2,702622.61
2021-12-28,5.22,5.2,5.24,5.16,973434.46
2021-12-29,5.2,5.14,5.21,5.12,1041965.0
2021-12-30,5.14,5.11,5.16,5.08,1224039.94
2021-12-31,5.11,5.1,5.15,5.08,1083188.19
2022-01-04,5.11,5.16,5.17,5.08,1145872.96
2022-01-05,5.16,5.32,5.32,5.14,2176984.05
2022-01-06,5.35,5.28,5.37,5.26,1227075.9
2022-01-07,5.29,5.52,5.53,5.29,2874325.11
2022-01-10,5.53,5.6,5.63,5.46,2426825.15
2022-01-11,5.63,5.63,5.73,5.53,2317728.65
2022-01-12,5.63,5.6,5.65,5.54,1480586.23
2022-01-13,5.56,5.64,5.72,5.55,1234751.76
2022-01-14,5.62,5.5,5.63,5.45,1817025.93
2022-01-17,5.51,5.52,5.57,5.41,1563919.58
2022-01-18,5.52,5.63,5.67,5.5,1804395.4
2022-01-19,5.63,5.65,5.67,5.59,1082422.61
2022-01-20,5.65,5.78,5.83,5.61,2556330.6
2022-01-21,5.75,5.74,5.79,5.68,1740087.56
2022-01-24,5.74,5.73,5.84,5.67,1345378.41
2022-01-25,5.71,5.69,5.82,5.66,1460824.17
2022-01-26,5.68,5.72,5.75,5.65,843355.95
2022-01-27,5.72,5.65,5.72,5.61,974491.16
2022-01-28,5.66,5.62,5.75,5.57,1139213.17
2022-02-07,5.7,5.79,5.89,5.7,1666726.71
2022-02-08,5.79,5.89,5.94,5.79,1843446.31
2022-02-09,5.9,5.88,5.99,5.85,1545633.95
2022-02-10,5.87,5.94,5.95,5.81,986752.6
2022-02-11,5.93,6.02,6.09,5.89,1867728.61
2022-02-14,6.02,5.84,6.05,5.81,1719233.45
2022-02-15,5.83,5.64,5.88,5.59,2794344.74
2022-02-16,5.66,5.7,5.73,5.6,1547114.5
2022-02-17,5.72,5.72,5.81,5.67,1044482.08
2022-02-18,5.69,5.79,5.81,5.68,1000130.13
2022-02-21,5.76,5.71,5.77,5.62,1384869.16
2022-02-22,5.67,5.71,5.76,5.65,911989.93
